"","id","BFSNR","Gemeinde","Stadtkreis","lat","lng","room_type","person_capacity","price","beds","bedrooms","bathrooms","reviews_count","name","userid","instant_bookable"
"1970",6873811,261,"Zürich","3",47.3699525887349,8.51717672525313,"Ganze Unterkunft",2,93,1,1,1.5,50,"Modern flat - Schmiede Widiekon",22313750,FALSE
"1971",7449801,261,"Zürich","7+8",47.3677275581916,8.55610905582041,"Privatzimmer",2,92,3,3,2,8,"Zimmer mit Bad im Herzen Zürichs",2904606,FALSE
"1972",17276245,261,"Zürich","4+5",47.3767822597514,8.52484587784599,"Ganze Unterkunft",3,93,2,0,1,11,"charmantes Studio im Herzen von Zürich mit rooftop",116279707,FALSE
"1973",2741410,261,"Zürich","7+8",47.3632675173408,8.56017328091971,"Privatzimmer",2,93,1,1,1,2,"Lovely and bright room in Kreis 7.",3111960,FALSE
"1974",3711692,62,"Kloten",NA,47.4610703158828,8.58293649498502,"Ganze Unterkunft",4,92,2,2,1,70,"Idyllic home close to Airport",18939866,FALSE
"1975",13794575,261,"Zürich","4+5",47.377217581594,8.51363328236137,"Ganze Unterkunft",4,93,3,1,1,13,"House in the heart of zurich with Private Terrace",5973267,FALSE
"1976",20292410,261,"Zürich","1+2",47.3381455374724,8.51897403623186,"Privatzimmer",2,90,1,1,1,1,"Wunderschöner Neubau am Fusse des Uetlibergs",97611648,FALSE
"1977",8549060,261,"Zürich","11",47.4166879382584,8.55023928110822,"Ganze Unterkunft",2,91,1,1,1,16,"2-Zimmer Wohnung mit Sitzplatz",45002380,FALSE
"1978",15270307,261,"Zürich","6",47.3906463001468,8.53944686069722,"Ganze Unterkunft",2,92,2,1,1,16,"Central, large balcony, near tram station",25355944,TRUE
"1979",20440869,261,"Zürich","4+5",47.385041948153,8.52925976207438,"Privatzimmer",3,92,3,1,1,0,"Wellcome to zurich city",145876060,FALSE
"1980",4071844,152,"Herrliberg",NA,47.2936653896647,8.60504946630736,"Privatzimmer",2,93,2,1,1,2,"GoldCoast Private Room-15min to ZH",3362862,FALSE
"1981",18620210,261,"Zürich","1+2",47.3473531381775,8.53347505017469,"Ganze Unterkunft",2,93,1,1,1,1,"Perfectly located apartment near the lake (65m2)",8863512,FALSE
"1982",16435353,261,"Zürich","10",47.4001464077465,8.50674384713545,"Ganze Unterkunft",4,91,2,1,1,4,"Elegant Zurich apartment with view",62954320,FALSE
